sum,sumCount,sumChance
21,1,0.00%
22,4,0.01%
23,9,0.02%
24,16,0.04%
25,25,0.05%
26,36,0.08%
27,49,0.11%
28,64,0.14%
29,81,0.18%
30,100,0.22%
31,121,0.27%
32,144,0.32%
33,168,0.37%
34,192,0.42%
35,216,0.47%
36,240,0.53%
37,264,0.58%
38,288,0.63%
39,312,0.68%
40,336,0.74%
41,360,0.79%
42,384,0.84%
43,408,0.89%
44,432,0.95%
45,456,1.00%
46,480,1.05%
47,503,1.10%
48,525,1.15%
49,546,1.20%
50,565,1.24%
51,582,1.27%
52,597,1.31%
53,610,1.34%
54,621,1.36%
55,628,1.38%
56,631,1.38%
57,632,1.38%
58,632,1.38%
59,628,1.38%
60,621,1.36%
61,613,1.34%
62,604,1.32%
63,593,1.30%
64,580,1.27%
65,568,1.24%
66,557,1.22%
67,545,1.19%
68,532,1.17%
69,520,1.14%
70,509,1.11%
71,497,1.09%
72,484,1.06%
73,472,1.03%
74,461,1.01%
75,449,0.98%
76,437,0.96%
77,426,0.93%
78,417,0.91%
79,406,0.89%
80,398,0.87%
81,390,0.85%
82,385,0.84%
83,378,0.83%
84,373,0.82%
85,370,0.81%
86,368,0.81%
87,366,0.80%
88,365,0.80%
89,365,0.80%
90,366,0.80%
91,365,0.80%
92,365,0.80%
93,365,0.80%
94,366,0.80%
95,365,0.80%
96,365,0.80%
97,365,0.80%
98,366,0.80%
99,365,0.80%
100,365,0.80%
101,365,0.80%
102,366,0.80%
103,365,0.80%
104,365,0.80%
105,365,0.80%
106,366,0.80%
107,365,0.80%
108,365,0.80%
109,365,0.80%
110,366,0.80%
111,365,0.80%
112,365,0.80%
113,365,0.80%
114,366,0.80%
115,365,0.80%
116,365,0.80%
117,365,0.80%
118,366,0.80%
119,365,0.80%
120,365,0.80%
121,364,0.80%
122,363,0.80%
123,359,0.79%
124,355,0.78%
125,350,0.77%
126,345,0.76%
127,337,0.74%
128,329,0.72%
129,320,0.70%
130,311,0.68%
131,299,0.65%
132,287,0.63%
133,275,0.60%
134,264,0.58%
135,251,0.55%
136,239,0.52%
137,227,0.50%
138,216,0.47%
139,203,0.44%
140,191,0.42%
141,179,0.39%
142,168,0.37%
143,155,0.34%
144,143,0.31%
145,131,0.29%
146,120,0.26%
147,107,0.23%
148,95,0.21%
149,83,0.18%
150,72,0.16%
151,61,0.13%
152,51,0.11%
153,41,0.09%
154,33,0.07%
155,25,0.05%
156,19,0.04%
157,13,0.03%
158,8,0.02%
159,5,0.01%
160,2,0.00%
161,1,0.00%
